Medicine_ID,Generic_Name,Brand_Name,Therapeutic_Class,Dosage_Form,Strength,Unit_Price_INR,Sample_Eligible,Dataset_Type
MED001,Atorvastatin,Newstat,Lipid Lowering,Tablet,10 mg,120,True,Synthetic master; real generic names; synthetic brand labels/prices
MED002,Atorvastatin,Newstat,Lipid Lowering,Tablet,20 mg,160,True,Synthetic master; real generic names; synthetic brand labels/prices
MED003,Rosuvastatin,Rosuva,Lipid Lowering,Tablet,5 mg,110,True,Synthetic master; real generic names; synthetic brand labels/prices
MED004,Rosuvastatin,Rosuva,Lipid Lowering,Tablet,10 mg,145,True,Synthetic master; real generic names; synthetic brand labels/prices
MED005,Rosuvastatin,Rosuva,Lipid Lowering,Tablet,20 mg,190,True,Synthetic master; real generic names; synthetic brand labels/prices
MED006,Simvastatin,Simva,Lipid Lowering,Tablet,10 mg,95,True,Synthetic master; real generic names; synthetic brand labels/prices
MED007,Simvastatin,Simva,Lipid Lowering,Tablet,20 mg,125,True,Synthetic master; real generic names; synthetic brand labels/prices
MED008,Pravastatin,Prava,Lipid Lowering,Tablet,10 mg,100,True,Synthetic master; real generic names; synthetic brand labels/prices
MED009,Pravastatin,Prava,Lipid Lowering,Tablet,20 mg,135,True,Synthetic master; real generic names; synthetic brand labels/prices
MED010,Ezetimibe,Ezetra,Lipid Lowering,Tablet,10 mg,175,True,Synthetic master; real generic names; synthetic brand labels/prices
MED011,Metformin,Metfor,Antidiabetic,Tablet,500 mg,60,True,Synthetic master; real generic names; synthetic brand labels/prices
MED012,Metformin,Metfor,Antidiabetic,Tablet,1000 mg,90,True,Synthetic master; real generic names; synthetic brand labels/prices
MED013,Glimepiride,Glimep,Antidiabetic,Tablet,1 mg,55,True,Synthetic master; real generic names; synthetic brand labels/prices
MED014,Glimepiride,Glimep,Antidiabetic,Tablet,2 mg,75,True,Synthetic master; real generic names; synthetic brand labels/prices
MED015,Gliclazide,Glicla,Antidiabetic,Tablet,80 mg,85,True,Synthetic master; real generic names; synthetic brand labels/prices
MED016,Sitagliptin,Sitaglo,Antidiabetic,Tablet,100 mg,210,True,Synthetic master; real generic names; synthetic brand labels/prices
MED017,Vildagliptin,Vilda,Antidiabetic,Tablet,50 mg,180,True,Synthetic master; real generic names; synthetic brand labels/prices
MED018,Linagliptin,Lina,Antidiabetic,Tablet,5 mg,195,True,Synthetic master; real generic names; synthetic brand labels/prices
MED019,Empagliflozin,Empa,Antidiabetic,Tablet,10 mg,230,True,Synthetic master; real generic names; synthetic brand labels/prices
MED020,Dapagliflozin,Dapa,Antidiabetic,Tablet,10 mg,220,True,Synthetic master; real generic names; synthetic brand labels/prices
MED021,Amlodipine,Amlo,Antihypertensive,Tablet,5 mg,45,True,Synthetic master; real generic names; synthetic brand labels/prices
MED022,Amlodipine,Amlo,Antihypertensive,Tablet,10 mg,70,True,Synthetic master; real generic names; synthetic brand labels/prices
MED023,Losartan,Losar,Antihypertensive,Tablet,50 mg,80,True,Synthetic master; real generic names; synthetic brand labels/prices
MED024,Losartan,Losar,Antihypertensive,Tablet,100 mg,120,True,Synthetic master; real generic names; synthetic brand labels/prices
MED025,Telmisartan,Telma,Antihypertensive,Tablet,40 mg,110,True,Synthetic master; real generic names; synthetic brand labels/prices
MED026,Telmisartan,Telma,Antihypertensive,Tablet,80 mg,160,True,Synthetic master; real generic names; synthetic brand labels/prices
MED027,Olmesartan,Olme,Antihypertensive,Tablet,20 mg,125,True,Synthetic master; real generic names; synthetic brand labels/prices
MED028,Ramipril,Ramip,Antihypertensive,Tablet,5 mg,70,True,Synthetic master; real generic names; synthetic brand labels/prices
MED029,Enalapril,Enal,Antihypertensive,Tablet,5 mg,55,True,Synthetic master; real generic names; synthetic brand labels/prices
MED030,Bisoprolol,Biso,Antihypertensive,Tablet,5 mg,85,True,Synthetic master; real generic names; synthetic brand labels/prices
MED031,Clopidogrel,Clopi,Antiplatelet,Tablet,75 mg,90,True,Synthetic master; real generic names; synthetic brand labels/prices
MED032,Clopidogrel,Clopi,Antiplatelet,Tablet,150 mg,145,True,Synthetic master; real generic names; synthetic brand labels/prices
MED033,Aspirin,Aspira,Antiplatelet,Tablet,75 mg,35,True,Synthetic master; real generic names; synthetic brand labels/prices
MED034,Aspirin,Aspira,Antiplatelet,Tablet,150 mg,55,True,Synthetic master; real generic names; synthetic brand labels/prices
MED035,Ticagrelor,Tica,Antiplatelet,Tablet,90 mg,260,True,Synthetic master; real generic names; synthetic brand labels/prices
MED036,Prasugrel,Prasu,Antiplatelet,Tablet,10 mg,230,True,Synthetic master; real generic names; synthetic brand labels/prices
MED037,Cilostazol,Cilo,Antiplatelet,Tablet,100 mg,140,True,Synthetic master; real generic names; synthetic brand labels/prices
MED038,Dipyridamole,Dipy,Antiplatelet,Tablet,75 mg,120,True,Synthetic master; real generic names; synthetic brand labels/prices
MED039,Dipyridamole,Dipy,Antiplatelet,Capsule,200 mg,180,True,Synthetic master; real generic names; synthetic brand labels/prices
MED040,Vorapaxar,Vora,Antiplatelet,Tablet,2.08 mg,300,True,Synthetic master; real generic names; synthetic brand labels/prices
MED041,Omeprazole,Ome,Gastrointestinal,Capsule,20 mg,70,True,Synthetic master; real generic names; synthetic brand labels/prices
MED042,Omeprazole,Ome,Gastrointestinal,Capsule,40 mg,105,True,Synthetic master; real generic names; synthetic brand labels/prices
MED043,Pantoprazole,Panto,Gastrointestinal,Tablet,40 mg,90,True,Synthetic master; real generic names; synthetic brand labels/prices
MED044,Esomeprazole,Eso,Gastrointestinal,Tablet,40 mg,115,True,Synthetic master; real generic names; synthetic brand labels/prices
MED045,Rabeprazole,Rabe,Gastrointestinal,Tablet,20 mg,95,True,Synthetic master; real generic names; synthetic brand labels/prices
MED046,Lansoprazole,Lanso,Gastrointestinal,Capsule,30 mg,100,True,Synthetic master; real generic names; synthetic brand labels/prices
MED047,Famotidine,Famo,Gastrointestinal,Tablet,20 mg,55,True,Synthetic master; real generic names; synthetic brand labels/prices
MED048,Sucralfate,Sucral,Gastrointestinal,Tablet,1 g,80,True,Synthetic master; real generic names; synthetic brand labels/prices
MED049,Ondansetron,Ondra,Gastrointestinal,Tablet,4 mg,65,True,Synthetic master; real generic names; synthetic brand labels/prices
MED050,Domperidone,Dompi,Gastrointestinal,Tablet,10 mg,50,True,Synthetic master; real generic names; synthetic brand labels/prices
MED051,Salbutamol,Salbu,Respiratory,Tablet,4 mg,45,True,Synthetic master; real generic names; synthetic brand labels/prices
MED052,Montelukast,Monte,Respiratory,Tablet,10 mg,90,True,Synthetic master; real generic names; synthetic brand labels/prices
MED053,Montelukast,Monte,Respiratory,Tablet,5 mg,70,True,Synthetic master; real generic names; synthetic brand labels/prices
MED054,Levocetirizine,Levo,Respiratory,Tablet,5 mg,60,True,Synthetic master; real generic names; synthetic brand labels/prices
MED055,Cetirizine,Ceti,Respiratory,Tablet,10 mg,45,True,Synthetic master; real generic names; synthetic brand labels/prices
MED056,Budesonide,Bude,Respiratory,Inhaler,200 mcg,220,True,Synthetic master; real generic names; synthetic brand labels/prices
MED057,Formoterol,Formo,Respiratory,Inhaler,6 mcg,240,True,Synthetic master; real generic names; synthetic brand labels/prices
MED058,Budesonide,Bude,Respiratory,Inhaler,400 mcg,290,True,Synthetic master; real generic names; synthetic brand labels/prices
MED059,Tiotropium,Tio,Respiratory,Capsule,18 mcg,260,True,Synthetic master; real generic names; synthetic brand labels/prices
MED060,Theophylline,Theo,Respiratory,Tablet,200 mg,75,True,Synthetic master; real generic names; synthetic brand labels/prices
MED061,Amoxicillin,Amoxi,Antibiotic,Capsule,500 mg,90,True,Synthetic master; real generic names; synthetic brand labels/prices
MED062,Amoxicillin,Amoxi,Antibiotic,Tablet,500 mg,95,True,Synthetic master; real generic names; synthetic brand labels/prices
MED063,Azithromycin,Azithro,Antibiotic,Tablet,500 mg,110,True,Synthetic master; real generic names; synthetic brand labels/prices
MED064,Cefixime,Cefix,Antibiotic,Tablet,200 mg,125,True,Synthetic master; real generic names; synthetic brand labels/prices
MED065,Cefuroxime,Cefuro,Antibiotic,Tablet,500 mg,145,True,Synthetic master; real generic names; synthetic brand labels/prices
MED066,Doxycycline,Doxy,Antibiotic,Capsule,100 mg,85,True,Synthetic master; real generic names; synthetic brand labels/prices
MED067,Clarithromycin,Clari,Antibiotic,Tablet,500 mg,160,True,Synthetic master; real generic names; synthetic brand labels/prices
MED068,Levofloxacin,Levof,Antibiotic,Tablet,500 mg,120,True,Synthetic master; real generic names; synthetic brand labels/prices
MED069,Ciprofloxacin,Cipro,Antibiotic,Tablet,500 mg,80,True,Synthetic master; real generic names; synthetic brand labels/prices
MED070,Metronidazole,Metro,Antibiotic,Tablet,400 mg,55,True,Synthetic master; real generic names; synthetic brand labels/prices
MED071,Paracetamol,Parac,Analgesic,Tablet,500 mg,30,True,Synthetic master; real generic names; synthetic brand labels/prices
MED072,Paracetamol,Parac,Analgesic,Tablet,650 mg,40,True,Synthetic master; real generic names; synthetic brand labels/prices
MED073,Ibuprofen,Ibu,Analgesic,Tablet,200 mg,35,True,Synthetic master; real generic names; synthetic brand labels/prices
MED074,Ibuprofen,Ibu,Analgesic,Tablet,400 mg,55,True,Synthetic master; real generic names; synthetic brand labels/prices
MED075,Naproxen,Napro,Analgesic,Tablet,250 mg,60,True,Synthetic master; real generic names; synthetic brand labels/prices
MED076,Naproxen,Napro,Analgesic,Tablet,500 mg,90,True,Synthetic master; real generic names; synthetic brand labels/prices
MED077,Diclofenac,Diclac,Analgesic,Tablet,50 mg,55,True,Synthetic master; real generic names; synthetic brand labels/prices
MED078,Aceclofenac,Aceclo,Analgesic,Tablet,100 mg,65,True,Synthetic master; real generic names; synthetic brand labels/prices
MED079,Tramadol,Trama,Analgesic,Capsule,50 mg,75,True,Synthetic master; real generic names; synthetic brand labels/prices
MED080,Etoricoxib,Etor,Analgesic,Tablet,90 mg,110,True,Synthetic master; real generic names; synthetic brand labels/prices
MED081,Levothyroxine,Thyro,Thyroid,Tablet,25 mcg,45,True,Synthetic master; real generic names; synthetic brand labels/prices
MED082,Levothyroxine,Thyro,Thyroid,Tablet,50 mcg,55,True,Synthetic master; real generic names; synthetic brand labels/prices
MED083,Levothyroxine,Thyro,Thyroid,Tablet,75 mcg,65,True,Synthetic master; real generic names; synthetic brand labels/prices
MED084,Levothyroxine,Thyro,Thyroid,Tablet,100 mcg,75,True,Synthetic master; real generic names; synthetic brand labels/prices
MED085,Methimazole,Methi,Thyroid,Tablet,5 mg,70,True,Synthetic master; real generic names; synthetic brand labels/prices
MED086,Carbimazole,Carbi,Thyroid,Tablet,5 mg,60,True,Synthetic master; real generic names; synthetic brand labels/prices
MED087,Carbimazole,Carbi,Thyroid,Tablet,10 mg,85,True,Synthetic master; real generic names; synthetic brand labels/prices
MED088,Propylthiouracil,PTU,Thyroid,Tablet,50 mg,100,True,Synthetic master; real generic names; synthetic brand labels/prices
MED089,Liothyronine,Lio,Thyroid,Tablet,25 mcg,120,True,Synthetic master; real generic names; synthetic brand labels/prices
MED090,Liothyronine,Lio,Thyroid,Tablet,50 mcg,170,True,Synthetic master; real generic names; synthetic brand labels/prices
MED091,Gabapentin,Gaba,CNS / Neurology,Capsule,300 mg,100,True,Synthetic master; real generic names; synthetic brand labels/prices
MED092,Pregabalin,Prega,CNS / Neurology,Capsule,75 mg,120,True,Synthetic master; real generic names; synthetic brand labels/prices
MED093,Pregabalin,Prega,CNS / Neurology,Capsule,150 mg,190,True,Synthetic master; real generic names; synthetic brand labels/prices
MED094,Carbamazepine,Carba,CNS / Neurology,Tablet,200 mg,85,True,Synthetic master; real generic names; synthetic brand labels/prices
MED095,Sodium Valproate,Valpa,CNS / Neurology,Tablet,200 mg,90,True,Synthetic master; real generic names; synthetic brand labels/prices
MED096,Levetiracetam,Leve,CNS / Neurology,Tablet,500 mg,160,True,Synthetic master; real generic names; synthetic brand labels/prices
MED097,Levetiracetam,Leve,CNS / Neurology,Tablet,1000 mg,260,True,Synthetic master; real generic names; synthetic brand labels/prices
MED098,Topiramate,Topi,CNS / Neurology,Tablet,50 mg,130,True,Synthetic master; real generic names; synthetic brand labels/prices
MED099,Lamotrigine,Lamo,CNS / Neurology,Tablet,50 mg,145,True,Synthetic master; real generic names; synthetic brand labels/prices
MED100,Amitriptyline,Amit,CNS / Neurology,Tablet,10 mg,55,True,Synthetic master; real generic names; synthetic brand labels/prices
MED101,Loratadine,Lora,Dermatology / Allergy,Tablet,10 mg,60,True,Synthetic master; real generic names; synthetic brand labels/prices
MED102,Fexofenadine,Fexo,Dermatology / Allergy,Tablet,120 mg,85,True,Synthetic master; real generic names; synthetic brand labels/prices
MED103,Fexofenadine,Fexo,Dermatology / Allergy,Tablet,180 mg,105,True,Synthetic master; real generic names; synthetic brand labels/prices
MED104,Desloratadine,Deslo,Dermatology / Allergy,Tablet,5 mg,90,True,Synthetic master; real generic names; synthetic brand labels/prices
MED105,Hydroxyzine,Hydro,Dermatology / Allergy,Tablet,25 mg,65,True,Synthetic master; real generic names; synthetic brand labels/prices
MED106,Mometasone,Mome,Dermatology / Allergy,Cream,0.1%,95,True,Synthetic master; real generic names; synthetic brand labels/prices
MED107,Clotrimazole,Clotri,Dermatology / Allergy,Cream,1%,55,True,Synthetic master; real generic names; synthetic brand labels/prices
MED108,Ketoconazole,Keto,Dermatology / Allergy,Cream,2%,75,True,Synthetic master; real generic names; synthetic brand labels/prices
